response,variant
"How do you rate the overall quality of our service?","A"
"How likely are you to recommend our product to a friend?","B"
"Was the product delivery on time?","A"
"How satisfied are you with the customer support you received?","B"
"Did the product meet your expectations?","A"
"How easy was it to navigate our website?","B"
"Would you purchase from us again?","A"
"How would you rate the value for money of our product?","B"
"How clear and accurate was the product description?","A"
"How satisfied are you with the range of products available?","B"
