response,variant,feedback
Would you purchase from us again?,A,1.0
How easy was it to navigate our website?,B,1.0
How would you rate the value for money of our product?,B,0.0
How satisfied are you with the range of products available?,B,0.0
How clear and accurate was the product description?,A,1.0
Did the product meet your expectations?,A,1.0
Was the product delivery on time?,A,0.0
How likely are you to recommend our product to a friend?,B,1.0
How do you rate the overall quality of our service?,A,1.0
How satisfied are you with the customer support you received?,B,1.0
